subject,Question,Option A,Option B,Option C,Option D,Answer,Year,Explaination
Economics,Maximum wage legislation seeks to,Fix wages above eq.,Set wages below eq.,Deter exploitation,Set upper limit,D,2004,
Economics,Factors of production include,"Sunlight, man","Land, labour, capital","Money, middlemen","Water, weather",B,1983,
Economics,An inferior good is defined by,Habituated poor,Negative income elast.,Habitual buying,Low price,B,1987,
Economics,Deficit financing is facilitated by,Stock exchange,Central Bank,Commercial banks,Trade unions,B,1987,
Economics,Economics is comprehensively the study of,Buying and selling,Industry organization,Human behavior/scarcity,Planning/budgeting,C,1983,
Economics,Opportunity cost of moving from production K to L is,2 units of rice,5 units of beans,17 units of rice,20 units of beans,A,1983,
Economics,Utility in consumer behavior can only be,Measured,Ranked,Constant,Negative,B,1983,
Economics,Large standard deviation indicates,Sample size,Spread around mean,Difference mean/mode,High/low difference,B,1983,
Economics,"In a mixed economy, activities are undertaken by",Federal/State,Both public/private,Rich and poor,Farmers/factories,B,1983,
Economics,The working age-group in Nigeria is generally,46037,15-65,30-40,65+,B,1983,
Economics,Localization of industries advantage excludes,External economies,Skilled labour pool,Conurbations growth,Subsidiary industries,C,1983,
Economics,Elastic demand means consumers,React proportionately,Are not sensitive,Stop buying on price +,React less than prop.,A,1983,
Economics,Emigration effects on population include,Increase size,Overpopulation,Growth rate increase,Reduce its size,D,1983,
Economics,Derived demand example,Composite demand,Joint demand,Factor of production,Cross elasticity,C,1983,
Economics,Differentiated products are features of,Perfect competition,Pure competition,Monopolistic comp.,Monopoly,C,1983,
Economics,A firm facing diminishing returns has,Total output falling,Average output falling,Marginal output falling,Price falling,C,1993,
Economics,Marginal cost relative to average cost,Intersects at minimum,Intersects at maximum,Always higher,Always lower,A,1983,
Economics,Sole proprietorship decisions are made by,Board,Management,Owner,Government,C,1983,
Economics,NEPA (as public corp) was essentially a,Duopoly,Perfect competition,Monopoly,Monopolistic industry,C,1983,
Economics,Comparative cost doctrine means specialization based on,Absolute advantage,Absolute disadvantage,Comparative advantage,High tariffs,C,1983,
Economics,Agricultural revenue in Nigeria historically,Declining,Main source,Zero,Only for family,B,1983,
Economics,Middlemen function in Nigeria,Production,Exchange center collection,Tax collection,Manufacturing,B,1983,
Economics,Advantages of govt enterprises exclude,Capital provision,Consumer pricing,Worker indifference,Infrastructure dev.,C,1983,
Economics,"Monetary system with ""double coincidence""",Gold standard,Barter,Cheque system,Gold exchange,B,1983,
Economics,Money providing for old age is a,Medium of exchange,Store of value,Standard for payment,Unit of account,B,1983,
Economics,The supply of loanable funds is influenced by,Mortgage banks,Commercial banks,Insurance companies,Central Bank,D,1983,
Economics,Limited liability liquidation loss is,Everything owned,Amount invested,Bank account,Nothing,B,1983,
Economics,Essential goods tax burden is borne by,High income,Middle income,Lower income,Top richest,C,1983,
Economics,Technical progress in growth is usually,Human capital,Natural resources,Residual (3%),Land factors,C,1983,
Economics,Agriculture dominance in West Africa is due to,Green Revolution,50% labour force,Revenue only,All food supply,B,1983,
Economics,"If demand is elastic, price increase leads to",Revenue increase,Revenue decrease,No change,Supply increase,B,1983,
Economics,"The ""Invisible Hand"" (Market Price) highlights",Allocation,Consumer rationality,Market regulation,Scarcity,C,2010,
Economics,Standard deviation is a measure of,Average,Centrality,Dispersion,Probability,C,2010,
Economics,Mean uses,Every value,Extreme values only,Median,Mode,A,2010,
Economics,Demand for semovita is downward sloping due to,Affordability,Local production,Substitution effect,Price-quantity relation,D,1983,
Economics,Market equilibrium price in sample table (N3-N9),N5,N8,N6,N7,C,1983,
Economics,"In perfect competition, firm's price equals",MR and AR,Fixed cost,Variable cost,Total cost,A,1983,
Economics,Subsidy to producers shifts supply curve,Right (S0 to S1),Left (S0 to S2),Upward,No shift,A,1983,
Economics,Economic development involves growth plus,Population,Structural change,Debt,High prices,B,2016,
Economics,Frictional unemployment occurs when,Recession,Workers change jobs,Population high,Machines replace men,B,2016,
Economics,Small scale enterprises characterized by,Large capital,Sole proprietorship,High tech,Many branches,B,2015,
Economics,Trade surplus occurs when,Imp > Exp,Exp > Imp,Exp = Imp,Debt low,B,2013,
Economics,Direct tax example,Income tax,Excise duty,VAT,Customs duty,A,2013,
Economics,Choice is necessary because resources are,Infinite,Abundant,Finite/Scarce,Free,C,2010,
Mathematics,If x is jointly proportional to the cube of y and the fourth power of z. In what ratio is x increased or decreased when y is halved and z is doubled?,4:1 increase,2:1 increase,1:4 decrease,1:1 no change,C,1983,
Mathematics,y varies partly as the square of x and partly as the inverse of the square root of x. write down the expression for y if y = 2 when x = 1 and y = 6 when x = 4,y = 10x²/31 + 52/(31√x),y = x² + 1/√x,y = x² + 1/x,y = (x² + 1)/(31√x),A,1983,
Mathematics,Simplify (x - 7)/(x² - 9) * (x² - 3x)/(x² - 49),x/(x-3)(x+7),(x+3)(x+7)/x,x/(x-3)(x-7),x/(x+3)(x+7),D,1983,
Mathematics,Which of the following equations represents the above graph?,y = 1 + 2x + 3x²,y = 1 - 2x + 3x²,y = 1 + 2x · 3x²,y = 1 - 2x - 3x²,B,1983,
Mathematics,The above figure FGHK is a rhombus. What is the value of the angle x?,90°,30°,150°,120°,D,1983,
Mathematics,PQRS is a desk of dimensions 2m x 0.8m which is inclined at 300 to the horizontal. Find the inclination of the diagonal PR to the horizontal.,23°35',30°,15°36',10°,A,1983,
Mathematics,Find x if (x_base)² = 100 1000_base2,6,12,100,210,A,1983,
Mathematics,Simplify log₁₀ a^{1/2} + 1/4 log₁₀ a - 1/12 log₁₀ a^7,1,7/6 log₁₀ a,0,10,C,1983,
Mathematics,Find the missing value in the following table. x | -2 | -1 | 0 | 1 | 2 | 3   y = x² - x + 3 | 3 | 3 | 3 | 9 | 27 | ? ,-3,3,-9,13,D,1983,
Mathematics,If O is the centre of the circle in the figure above. Find the value of x,50,260,100,6,C,1983,
Mathematics,The letters of the word MATRICULATION are cut and put into a box. One of the letter is drawn at random from the box. Find the probability of drawing a vowel.,46066,46155,46186,46247,B,1983,
Mathematics,Without using tables find the numerical value of log₇ 49 + log₇ (1/7),1,2,3,7,A,1983,
Mathematics,Factorize completely 81a⁴ - 16b⁴,(3a + 2b)(2a - 3b)(9a² + 4b²),(3a - 2b)(2a - 3b)(4a² - 9b²),(3a - 2b)(3a - 2b)(9a² + 4b²),(3a - 2b)(2a - 3b)(9a² + 4b²),D,1983,
Mathematics,One interior angle of a convex hexagon is 170° and each of the remaining interior angles is equal to x°. find x,120°,110°,105°,102°,B,1983,
Mathematics,PQRS is a cyclic quadrilateral in which PQ = PS. PT is a tangent to the circle and PQ makes an angle 50° with the tangent as shown in the figure below. What is the size of QRS?,50°,40°,110°,80°,C,1983,
Mathematics,A ship H leaves a port P and sails 30km due South. Then it sails 60km due west. What is the bearing of H from P?,26°34',243°26',116°34',63°26',B,1983,
Mathematics,In a sample survey of a university community the following table shows the percentage distribution of the number of members per household. ... Find the mean number of members per household.,4,3,5,4.5,C,1983,
Mathematics,On a square paper of length 2.524375cm is inscribed a square diagram of length 0.524375. find the area of the paper no covered by the diagram correct to 3 significant figures.,6.00cm²,6.10cm²,6cm²,6.09cm²,A,1983,
Mathematics,In the figure below find PRQ,66¹/₂°,62¹/₂°,125°,105°,C,1983,
Mathematics,The farm yields of four crops on a piece of land in Ondo are represented on the pie chart above. What is the angle of the sector occupied by Okro in the chart?,91¹/₂°,19¹/₂°,33¹/₃°,11°,C,1983,
Mathematics,PQR is the diameter of a semicircle RSP with centre at Q and radius of length 3.5cmc. if QPT = QRT = 60°. Find the perimeter of the figure (PTRs p = 22/7),25cm,18cm,36cm,20cm,C,1983,
Mathematics,In the above diagram if PS = SR and PQ//SR. what is the size of PQR?,25°,50°,55°,65°,B,1983,
Mathematics,In the figure above PT is a tangent to the circle with centre O. if PQT = 30°. find the value of PTO,30°,15°,24°,12°,B,1983,
Mathematics,Simplify (2/3 - 1/5) - 1/3 of 2/5,46029,46029,46025,3,B,1984,
Mathematics,0.00014323/1.940000 = k x 10ⁿ where 1 ≤ k < 10 and n is a whole number. The values of K and n are,7.381 and -11,2.34 and 10,3.87 and 2,7.831 and -11,D,1984,
Mathematics,P sold his bicycle to Q at a profit of 10%. Q sold it to R for #209 at a loss of 5%. How much did the bicycle cost P?,#200,#196,#180,#205,A,1984,
Mathematics,Thirty boys and x girls sat for a test. The mean of the boys' scores and that of the girls were respectively 6 and 8. find x if the total score was 468.,38,24,36,22,D,1984,
Mathematics,The cost of production of an article is made up as follows Labour #70 Power #15 Materials #30 Miscellaneous #5 Find the angle of the sector representing labour in a pie chart,210°,105°,175°,150°,A,1984,
Mathematics,Bola chooses at random a number between 1 and 300. What is the probability that the number is divisible by 4?,46025,46026,46027,4/300,B,1984,
Mathematics,Rationalize 5(√5 + √7)/(7 - 5),-2√35,4√7 - 6√5/√35,#NAME?,2√35/(4√7 - 8√5),D,1984,
Mathematics,Simplify 3^{n-1} / (3^{n+1} - 3^{n-1}),1,1/3^n - 3^{n-1},46049,3^n - 3^{n-1}/3^n - 3^{n-1},C,1984,
Mathematics,Factorise 6x² - 7x - 3,2(x+3)(3x-2),6(x-2)(x+1),2(x-3)(3x+2),6(x+2)(x-1),A,1984,
Mathematics,In a racing competition. Musa covered a distance of 5x km in the first hour and (x + 10) km in the next hour. He was second to Ngozi who covered a total distance of 118 km in the two hours. Which of the following inequalities is correct?,0 < x < 15,#NAME?,15 < x < 18,0 < x < 15,A,1984,
Mathematics,What is the volume of the regular three dimensional figure drawn above?,160cm³,48cm³,96cm³,120cm³,C,1984,
Mathematics,A cone is formed by bending a sector of a circle having an angle of 210°. Find the radius of the base of the cone if the diameter of the circle is 12cm,7.00cm,1.75cm,0.21cm,3.50cm,D,1984,
Mathematics,If a = 2x/(1 - x) and b = (1 + x)/(1 - x) then a² - b² in the simplest form is,3x + 1/(x-1),3x² - 1/(x-1)²,3x² + 1/(1-x)²,5x² - 1/(1-x)²,C,1984,
Mathematics,Simplify (1 + (x-1)/(x+1)) (x+2),(x² - 1)(x + 2),x²(x + 2)/(x + 1),x² - (x + 2),2x(x + 2)/(x + 1),D,1984,
Mathematics,In the figure above PQRSTW is a regular hexagon. QS intersects RT at V. calculate TVS.,60°,90°,120°,30°,B,1984,
Mathematics,Find the area of the shaded portion of the semi-circular figure above.,r²/4(4π - √3),r²/4(2π + √3),1/2r²π,1/8r√3,A,1984,
Mathematics,If pq + 1 = q² and t = 1/p - 1/pq express t in terms of q,1/p - q,1/q - 1,1/q + 1,1 + q,B,1984,
Mathematics,The cumulative frequency function of the data below is given by the frequency y = cf(x). what is cf(5)?,30,35,55,62,C,1984,
Mathematics,A right circular cone has a base radius r cm and a vertical 2y°. the height of the cone is,r tan y° cm,r sin y° cm,r cot y° cm,r cos y° cm,A,1984,
Mathematics,Two fair dice are rolled. What is the probability that both show up the same number of point?,13150,13332,46024,46025,A,1984,
Mathematics,The larger value of y for which (y - 1)² = 4y - 7 is,2,4,6,7,C,1984,
Mathematics,If sin q = x/y and 0° < q < 90° then find 1/ tan q,x/√(y² - x²),x/y,√(y² - x²),√(y² - x²)/(y² - x²),A,1984,
Mathematics,The bar chart above shows the mark distribution in a class test. Find the number of students in the class.,9,2,60,30,C,1984,
Mathematics,Measurements of the diameters in centimeters of 20 copper spheres are distributed as shown below ... What is the mean diameter of the copper sphere?,3.40cm,3.58cm,3.56cm,3.62cm,B,1984,
Mathematics,What is the obtuse angle formed when the point U is joined to Q?,75°,154°,120°,105°,B,1984,
Mathematics,What is the acute angle formed when the point V joined to Q?,60°,30°,45°,90°,B,1984,
Mathematics,Find correct to two decimal places 100 + 1/100 + 3/1000 + 27/10000,100.02,1000.02,100.22,100.01,A,1985,
Mathematics,Simplify 1/2 + 1/1 / 2 + 1/2 + 1/1,4+1/5,46085,169/190,13/15,C,1985,
Mathematics,Find x if Log₅ x = 1.5,72,27,36,3.5,B,1985,
Mathematics,Write h in terms of a = b(1 - ch)/(1-dh),h = (a - b)/(ad - bc),h = (a + b)/(ad - bc),h = (ad - bc)/(a - b),h = (1 - b)/(d - bc),A,1985,
Mathematics,22 1/2% of the Nigerian Naira is equal to 17 1/10% of a foreign currency M. what is the conversion rate of the M to the Naira?,1M = 15/16 N,1M = 2 1/2 N,1M = 1 18/19 N,1M = 38 1/4 N,C,1985,
Mathematics,If e^x = 1 + x + x²/12 + x³/1.2 + … find 1/e^{1/2},1 - x + x²/2 - x³/3 + …,1 + x/2 + x²/4 + x³/6 + …,1 + x/2 + x²/4 + x³/6 + …,1 - x/2 + x²/4 - x³/6 + …,D,1985,
Mathematics,The factors of 9 - (x² - 3x - 1)² are,-(x-4)(x+1)(x-1)(x-2),(x-4)(x-1)(x-1)(x+2),-(x-2)(x+1)(x+2)(x+4),(x-4)(x-3)(x-2)(x+1),C,1985,
Mathematics,If 3^{2y} - 6(3^y) = 27 find y,3,-1,2,-3,C,1985,
Mathematics,Factorize abx² + 8y - 4bx - 2axy,(ax - 4)(bx - 2y),(ax + b)(x - 8y),(ax - 2y)(by - 4),(abx - 4)(x - 2y),A,1985,
Mathematics,If the quadrilateral function 3x² - 7x + R is a perfect square find R,49/24,49/3,49/6,49/12,D,1985,
Mathematics,If f(x - 2) = 4x² + x + 7 find f(1),12,27,7,46,B,1985,
Mathematics,Find the missing value in the table below. x | -2 | -1 | 0 | 1 | 2 | 3   y = x³ - x + 3 |   | 3 | 3 | 3 | 9 | 27 ,-32,-14,40,22,C,1985,
Mathematics,The bearing of bird on a tree from a hunter on the ground is N72°E. what is the bearing of the hunter from the bird?,S18°W,S72°W,S72°E,S27°E,A,1985,
Mathematics,Without using tables. Calculate the value of 1 + sec² 30°?,2^{1/3},2,1^{1/3},46085,B,1985,
Mathematics,What is the probability that a number chosen at random from the integers between 1 and 10 inclusive is either a prime or a multiple of 3?,46213,46086,46117,46024,C,1985,
Mathematics,Find the area of a regular hexagon inscribed in a circle of radius 8cm.,16√3cm²,96√3cm²,192.3cm²,16cm²,B,1985,
Mathematics,A solid sphere of radius 4cm has mass of 64kg. What will be the mass of a shell of the same metal whose internal and external radii are 2cm and 3cm respectively?,5kg,16kg,19kg,25kg,B,1985,
Mathematics,A bag contains 4 white balls and 6 red balls. Two red balls are taken from the bag without replacement. What is the probability that they are both red?,46025,46062,46068,46027,B,1985,
Mathematics,In the figure above the area of the shaded segment is,3p,9√3/4,3(p - 3√3/4),3(√3 - p)/4,C,1985,
Mathematics,In the figure above find the angle x,100°,120°,60°,110°,D,1985,
Mathematics,If a (x+1) - (x+1) = bx (x-2) (n+2) Find a simplest form,x² - 1,x² + 1,x² + 4,1,A,1985,
Mathematics,Evaluate (212)₃ - (121)₃ + (222)₃,(313)₃,(1000)₃,(1020)₃,(1222)₃,B,1986,
Mathematics,Find the smallest number by which 252 can be multiplied to obtain a perfect square,2,3,5,7,C,1986,
Mathematics,Find the reciprocal of (2/3) / (1/2 + 1/3),46117,46146,46058,46180,B,1986,
Mathematics,Simplify 0.03 × 4 × 0.00064 / (0.48 × 0.012),3.6 × 10²,36 × 10²,3.6 × 10³,3.6 × 10⁴,A,1986,
Mathematics,Udoh deposited #150 00 in the bank. At the end of 5 years the simple interest on the principal was #55 00. At what rate per annum was the interest paid?,0.11,0.0733,0.05,0.0333,B,1986,
Mathematics,Simplify (1/√5 + √3 - 1/√5 - √3) × -1/√3,√3/√5,#NAME?,-2,-1,C,1986,
Mathematics,Find n if log₅ 4 + log₂ Z - log₂ n = -1,10,14,27,28,D,1986,
Mathematics,(9^{1/3} × 27^{-1/2}) / (3^{1/6} × 3^{2/3}),46025,1,3,9,B,1986,
Mathematics,Factorize completely 3a + 125ax³,(2a + 5x)(4 + 25ax),a(2 + 5x)(4 - 10x + 25ax²),(2a + 5x)(4 - 10ax + 25ax²),a(2 + 5x)(4 + 10ax + 25ax²),B,1986,
Mathematics,If y = x/(x-3) + x/(x+4) find y when x = -2,-0.6,46086,-1.4,46208,C,1986,
Mathematics,Find all the numbers x which satisfy the inequality 1/3(x+1) - 1 > 1/5(x+4),x < 11,x < -1,x > 6,x > 11,D,1986,
Mathematics,Factorize x² + 2a + ax + 2x,(x + 2a)(x + 1),(x + 2a)(x - 1),(x² - 1)(x + a),(x + 2)(x + a),D,1986,
Mathematics,Simplify 1/5x + 5 + 1/7x + 7,12/35 + 7,1/35(x+1),12x/35(x+1),12/35x + 35,C,1986,
Mathematics,Factorize (4a + 3)² - (3a - 2)²,(a + 1)(a + 5),(a - 5)(7a - 1),(a + 5)(7a + 1),a(7a + 1),C,1986,
Mathematics,Simplify 1/x - 2 + 1/x + 2 + 2x/x² - 4,2x/(x-2)(x+2)(x² - 4),2x/x² - 4,x/x² - 4,4x/x² - 4,B,1986,
Mathematics,Make r the subject of the formula S = 6/v - w/2,V = 6/S² = 12/w,v = 12/(2S² - w),v = (12 - 2S²)/w,v = 12/(2S² + w),D,1986,
Mathematics,Find the values of x which satisfy the equation 16^x - 5x⁴ + 4 = 0,1 and 4,-2 and 2,0 and 1,1 and 0,C,1986,
Mathematics,A regular polygon on n sides has 160° as the size each interior. Find n.,18,16,14,12,D,1986,
Mathematics,A girl walks 45 metres in the direction 050° from a point Q to a point X. She then walks 24 metres in the direction 140° from X to a point Y. How far is she then from Q?,69m,57m,51m,21m,B,1986,
Mathematics,The figure is a solid with the trapezium PQRS as its uniform cross-section. Find its volume,102m³,576m³,816m³,1056m³,C,1986,
Mathematics,PQ and PR are tangents from P to a circle centre O as shown in the figure above. If QRP = 34°. Find the angle marked x.,34°,56°,68°,112°,B,1986,
Mathematics,An arc of circle of radius 6cm is 8cm long. Find the area of the sector.,5¹/₃cm²,24cm²,36cm²,48cm²,B,1986,
Mathematics,Find the total surface area of a solid cone of radius 27cm and slanting side 43cm,8√3cm²,24cm²,15√3cm²,36cm²,D,1986,
Mathematics,If U and V are two distinct fixed points and W is a variable point such that UVW is a straight angle. What is the locus of W?,The perpendicular bisector of UV,A circle with UV as radius,A line parallel to the line UV,A circle with the line UV as the diameter,D,1986,
Mathematics,An open rectangular box externally measures 4m x 3m x 4m. Find the total cost of painting the box externally if it costs #2.00 to paint one square metre.,#96.00,#112.00,#136.00,#160.00,A,1986,
Mathematics,Find the probability that a number selected at random from 40 to 50 is a prime,46092,46153,46091,46123,A,1986,
Mathematics,The people in a city with a population of 109 million were grouped according to their ages. Use the diagram below to determine the number of people in the 15-29 years group.,29 x 10⁴,26 x 10⁴,16 x 10⁴,13 x 10⁴,B,1986,
Principles of Accounts,The term accounting period is used to refer to the, time span during which taxes are paid to the Inland Revenue Board  , Budget period usually one year relied on by the accountant,  time span usually one year covered by financial statement,period within which debtors are expected to settle accounts.,C,1994,   Accounting period is the time frame (usually one year) covered by financial statements.       
Principles of Accounts,Assigning revenues to the accounting period in which goods were sold or services rendered and expenses incurred is known as  , passing of entries  , consistency convention,  matching concept,adjusting for revenue.,C,1994,Matching concept ensures expenses are recorded in the same period as the revenues they generate.          
Principles of Accounts,The accounting convention which states that ‘profit must not be recognized until realized while all losses should be adequately provided for’ is termed  , materiality  , objectivity,  consistency,conservatism.,D,1994,Conservatism principle ensures caution by recognizing losses early and profits only when realized.          
Principles of Accounts,Accounting information is used by investors and creditors of a company to predict  , future cash flows of the company  , future tax payments of the company,  potential merger candidates for the company,appropriate remuneration for the company’s staff.,A,1994,Investors focus on future cash flows to assess profitability and liquidity.          
Principles of Accounts,Antics Electronics Company recently bought six generators. Which of the following is the correct method of recording this transaction.  , Debit generator account and credit cash account.  , Debit purchases account and credit cash account.,  Debit cash account and credit purchases account.,Debit cash account and credit generator account.,A,1994,Generators are fixed assets  so debit asset account and credit cash.         
Principles of Accounts,When a business incurs labours cost in installing a fixed asset  the cost is treated as ,  additional cost to the asset , business wages and salaries,  installation cost of the asset,business cost of the asset.,A,1994, Installation costs are capitalized as part of asset cost.         
Principles of Accounts,What is the cardinal rule of the double entry system?  , Debit the increasing account and credit the decreasing account.  , Debit the receiving account and credit the giving account.,  Debit the asset account and credit the liability account.,Debit the revenue account and credit the expenditure account.,B,1994,The rule is debit receiver  credit giver.         
Principles of Accounts,Malam Gambo bought a freezer for his shop costing N10 500. In recording  he debited office expenses account and credited the bank account. What book keeping error has he committed?,   Error of commission, Error of reversal of entries,  Error of principle,Compensation error.,C,1994,  A capital item was wrongly treated as revenue—error of principle.        
Principles of Accounts,The use of the folio in the ledger is for  , Referencing purposes  , Particulars of the transaction,  the account titles,Only credit items.,A,1994,Folio is used for cross-referencing entries.          
Principles of Accounts,What is the closing balance of the account shown above?  , N5 000 , N6500,  N5500,N15000.,C,1994,    Balancing both sides gives N5 500.     
Principles of Accounts,The suspense account is used to correct book keeping errors where the  , amount involved is quite significant  , item involved is not material,  item involved is unknown,error does not affect the agreement of the trial balance.,C,1994,Suspense account is used when the error source is unknown.          
Principles of Accounts,The discount column of a three column cashbook is not balanced off but periodically transferred to the discount accounts because discounts  , are not important in cash book  , are cash items only,  do not form part of double entry,are used for bank reconciliation.,C,1994,Discount columns are memorandum columns  not double entry.         
Principles of Accounts,When is a petty cash account debited?  , When the fund is established and every time money is spent  , when the fund is established and every time it is replenished,  when the fund is established and when the size of the float is decreased,Every time money is drawn from the petty cash.,B,1994,Petty cash is debited when fund is created and replenished.          
Principles of Accounts,When preparing a bank reconciliation statement  which of the following is deducted from the balance per bank statement? ,  Bank charges. , Uncleared cheques,  returned cheques,Unpresented cheques.,D,1994, Unpresented cheques reduce bank statement balance.         
Principles of Accounts,The financial position of an organization at a particular time can be ascertained from the  , statement of sources and application of funds  , statement of retained earnings,  balance sheet,profit and loss account.,C,1994,Balance sheet shows financial position at a point in time.          
Principles of Accounts,What is the cost of goods sold?  , N30 000 , N25000,  N20000,N15000.,B,1994,    COGS = Opening stock + Purchases + carriage inwards – closing stock.      
Principles of Accounts,The net profit or loss for the year is determined in the profit and loss account after  , deducting purchases from sales  , deducting cost of goods sold from sales and adding administrative expenses,  adding commissions received to gross profit,eliminating all expenses from gross profit and adding any other income.,D,1994,Net profit is gross profit minus expenses plus other income.          
Principles of Accounts,Using LIFO  determine the value of closing stock. ,  N9 600, N7600,N6000,N2000,B,1994,LIFO assumes latest purchases sold first.     
Principles of Accounts,What is the gross profit at the end of February  if the closing stock were valued at N20 000?,   N65, N57 000, N48000,N37000.,C,1994, Gross profit = sales – cost of goods sold.    
Principles of Accounts,To do this  the profit and loss should show a ,  credit of N20 and a debit of N100 , credit of N28 and a debit of N300,  credit of N48,debit entry of N414.,D,1994, Adjusting provision leads to debit of N414.         
Principles of Accounts,If a bad debt previously written off is subsequently repaid  the amount collected is recorded as an ,  income in the profit and loss account , income in the balance sheet,  addition cash in the profit and loss account,expense in the balance sheet.,A,1994, Recovered bad debts are treated as income since they were previously written off.         
Principles of Accounts,Beginning and ending accounts receivable balances were N8 000 and N15 000 respectively. If collections from customers during the period were N36,N23 000,  N29000,N36000,N43000.,D,1994, Sales = Closing debtors + cash received – opening debtors = 15 000 + 36 000
Principles of Accounts,From which of the following sources are creditors control account most likely to be posted?  , Supplier’s invoices  , Cash disbursements journal,  Subsidiary debtor’s ledger,Purchases journal.,D,1994,Creditors control account is mainly posted from purchases journal.          
Principles of Accounts,Compute the capital as at 1st January 1993.  , N29 800 , N28900,  N26700,N20800.,B,1994,    Capital = Assets – Liabilities calculated from given values.      
Principles of Accounts,Determine his net profit as at 31st December 1993.  , N2 000 , N2200,  N3500,N4200.,D,1994,    Profit = Closing capital – opening capital (adjusted for drawings/additions).      
Principles of Accounts,Which of the following categories of labours cost will be classified as direct?  , Accountant’s salary  , Factory workers’ salary,  Managing director’s salary,Cashier’s salary.,B,1994,Direct labour is directly involved in production.          
Principles of Accounts,Using the FIFO method of stock valuation  the ending inventory cost is ,  N146 , N165,  N186,N314.,C,1994, FIFO assumes earliest goods purchased are sold first.         
Principles of Accounts,Using the LIFO inventory procedures  the ending inventory cost is ,  N136 , N176,  N196,N264.,A,1994, LIFO assumes latest goods are sold first.         
Principles of Accounts,The major difference between the receipt and payment account and the income and expenditure account is that while the former  , is kept by the treasurer  the latter is not , deals with all receipts and payments regardless of period,  is a T-account the latter is not,is not in the ledger the latter is.,B,1994,   Receipts & payments record all cash regardless of period  income & expenditure uses accrual basis.      
Principles of Accounts,The amount to be shown in the income and expenditure account would be  , N2 500 , N2540,  N2570,N2590.,D,1994,    Adjusted subscription = received + arrears – advance.      
Principles of Accounts,The net profit from the trading account of a non-profit making organization would be treated as income in the  , income and expenditure account  , receipt and payment account,  balance sheet,statement of affairs.,A,1994,Income and expenditure account shows true surplus or deficit.          
Principles of Accounts,What is the capital of Ado & Co.?  , N22 000 , N100000,  N150000,N250000.,D,1994,    Total capital = sum of contributions by partners.      
Principles of Accounts,What is the profit sharing ratio if it is based on capital contributed by Ada and Udo?  , 2:1  , 3:2,  2:3,0.043055556,C,1994,Ratio is based on contributions (Ada:Udo).          
Principles of Accounts,The major distinguishing element between the final accounts of a partnership and a sole trader is the  , drawings account  , appropriation account,  capital account,creditors account.,B,1994,Partnership uses appropriation account for profit sharing.          
Principles of Accounts,Goodwill appears in the books of a business only if it has been  , purchased at a certain price  , raised with new partner admission,  raised at death of partner,raised to avoid insolvency.,A,1994,Goodwill is recorded only when purchased.          
Principles of Accounts,Wamo’s equity in the resulting partnership is  , N32 000 , N50000,  N42000,N50000.,B,1994,    Equity equals his capital contribution agreed.      
Principles of Accounts,Under which of the following conditions is a partnership dissolved?  , Change of head office  , Admission of a new partner,  Purchase of fixed assets,Retirement of a manager.,B,1994,Admission of a new partner dissolves old partnership legally.          
Principles of Accounts,When shares issued are paid for the accounting entry required is  , debit bank or cash and credit share capital  , credit bank and debit share capital,  debit shares account and credit capital,credit shares account and debit capital.,A,1994,Cash increases and share capital increases.          
